timestamp;x (in G's);y (in G's);z (in G's)
1600601981.956253;0.029404;-0.042603;-1.094391
1600601981.975662;0.005905;-0.073761;-1.099670
1600601981.995101;-0.002548;-0.105698;-1.077682
1600601982.014510;-0.039124;-0.062027;-1.043686
1600601982.033921;-0.035217;-0.050903;-1.040314
1600601982.053360;-0.043625;-0.027191;-1.104691
1600601982.072769;-0.046921;-0.011780;-1.173874
1600601982.092191;-0.032455;-0.040741;-1.186325
1600601982.111600;-0.065369;-0.047913;-1.096252
1600601982.131040;-0.106216;-0.071182;-0.991257
1600601982.150449;-0.105118;-0.095993;-0.909195
1600601982.169889;-0.100616;-0.107635;-0.882263
1600601982.189298;-0.104568;-0.088730;-0.896835
1600601982.208738;-0.132217;-0.071854;-0.960190
1600601982.228147;-0.139923;-0.054886;-1.021103
1600601982.247587;-0.101212;-0.055222;-1.068573
1600601982.266996;-0.058029;-0.045929;-1.066055
1600601982.286436;-0.023468;-0.045975;-1.018158
1600601982.305845;-0.023804;-0.076675;-0.951584
1600601982.325285;-0.039001;-0.105698;-0.895309
1600601982.344694;-0.054474;-0.125641;-0.857559
1600601982.364133;-0.049667;-0.132126;-0.845322
1600601982.383543;-0.027802;-0.143448;-0.845123
1600601982.402982;-0.016663;-0.132996;-0.850174
1600601982.422391;-0.009354;-0.123215;-0.867126
1600601982.441831;0.011047;-0.114166;-0.877426
1600601982.461240;0.031158;-0.100189;-0.883774
1600601982.480680;0.059387;-0.112030;-0.880630
1600601982.500120;0.070633;-0.120514;-0.878815
1600601982.519529;0.068344;-0.116974;-0.897110
1600601982.538969;0.059891;-0.125351;-0.915436
1600601982.558378;0.039383;-0.137787;-0.931442
1600601982.577817;0.008987;-0.149368;-0.961273
1600601982.597227;-0.039673;-0.137283;-1.008636
1600601982.616666;-0.091827;-0.140030;-1.059189
1600601982.636106;-0.114227;-0.150223;-1.085327
1600601982.655515;-0.103012;-0.144211;-1.090515
1600601982.674924;-0.090958;-0.145752;-1.097672
1600601982.694364;-0.085144;-0.131119;-1.118286
1600601982.713804;-0.053589;-0.131668;-1.137604
1600601982.733213;-0.017075;-0.127579;-1.136047
1600601982.752653;-0.007233;-0.080688;-1.111908
1600601982.772062;0.003418;-0.043442;-1.086166
1600601982.791502;0.017212;-0.013107;-1.105560
1600601982.810911;0.010773;0.023926;-1.143051
1600601982.830350;0.042252;0.035706;-1.132431
1600601982.849760;0.064835;0.042435;-1.096985
1600601982.869199;0.091873;0.006516;-1.029465
1600601982.888608;0.097229;-0.022842;-0.954315
1600601982.908048;0.073700;-0.014893;-0.899307
1600601982.927457;0.078674;-0.038071;-0.893478
1600601982.946867;0.087845;-0.033951;-0.904190
1600601982.966306;0.097458;-0.033966;-0.927750
1600601982.985746;0.073242;-0.019043;-0.935028
1600601983.005155;0.060516;-0.026749;-0.925339
1600601983.024595;0.074097;-0.039902;-0.915710
1600601983.044004;0.080673;-0.042175;-0.930893
1600601983.063444;0.078110;-0.046021;-0.941162
1600601983.082853;0.055786;-0.063400;-0.929749
1600601983.102252;0.030777;-0.092056;-0.913666
1600601983.121691;0.007217;-0.119446;-0.914001
1600601983.141100;-0.010361;-0.119171;-0.927917
1600601983.160540;0.001419;-0.137939;-0.935272
1600601983.179950;-0.002701;-0.158783;-0.929001
1600601983.199389;-0.016754;-0.165054;-0.920456
1600601983.218798;-0.037079;-0.171387;-0.935028
1600601983.238238;-0.059891;-0.198608;-0.970703
1600601983.257648;-0.100281;-0.218185;-0.994034
1600601983.277087;-0.129959;-0.234131;-0.975235
1600601983.296496;-0.127472;-0.230316;-0.948166
1600601983.315936;-0.082397;-0.210297;-0.933975
1600601983.335346;-0.022247;-0.169525;-0.935257
1600601983.354785;0.023697;-0.142212;-0.930634
1600601983.374194;0.057449;-0.133499;-0.939682
1600601983.393603;0.064560;-0.120316;-0.957367
1600601983.413043;0.061737;-0.106659;-0.969070
1600601983.432452;0.054932;-0.114273;-0.972977
1600601983.451891;0.059189;-0.150330;-0.986160
1600601983.471301;0.042084;-0.145660;-1.017700
1600601983.490741;0.024582;-0.138489;-1.020126
1600601983.510150;0.035049;-0.161179;-1.004532
1600601983.529589;-0.000626;-0.119614;-1.011063
1600601983.548998;-0.048843;-0.057816;-1.057434
1600601983.568408;-0.064102;-0.048843;-1.149521
1600601983.587847;-0.062668;-0.031326;-1.204422
1600601983.607256;-0.073502;-0.033035;-1.206024
1600601983.626696;-0.100235;-0.039413;-1.122086
1600601983.646106;-0.142883;-0.048508;-1.004532
1600601983.665515;-0.130905;-0.063477;-0.930618
1600601983.684954;-0.127899;-0.098755;-0.905670
1600601983.704363;-0.138382;-0.091873;-0.902359
1600601983.723773;-0.141449;-0.087387;-0.903244
1600601983.743212;-0.138626;-0.084061;-0.924454
1600601983.762621;-0.119431;-0.055786;-0.975266
1600601983.782032;-0.088348;-0.043594;-1.019882
1600601983.801471;-0.041489;-0.048950;-1.019882
1600601983.820880;-0.043900;-0.058594;-0.984344
1600601983.840289;-0.069595;-0.081268;-0.934265
1600601983.859728;-0.081802;-0.108139;-0.899567
1600601983.879138;-0.079330;-0.141129;-0.879990
1600601983.898547;-0.091827;-0.152878;-0.866150
