timestamp;x (in radians/s);y (in radians/s);z (in radians/s)
1603186398.805352;-0.201224;-0.030144;-0.033165
1603186398.815331;-0.148483;-0.035883;0.004176
1603186398.825341;-0.104531;-0.044695;0.042257
1603186398.835279;-0.081622;-0.033808;0.072198
1603186398.845289;-0.077140;-0.006716;0.087908
1603186398.855299;-0.085332;0.020769;0.088664
1603186398.865278;-0.102978;0.038878;0.066887
1603186398.875288;-0.118485;0.062374;0.030334
1603186398.885267;-0.121414;0.079044;0.002990
1603186398.895277;-0.110263;0.087909;-0.008659
1603186398.905287;-0.093336;0.098133;-0.002608
1603186398.915266;-0.074076;0.098830;0.015057
1603186398.925276;-0.058328;0.102310;0.033316
1603186398.935255;-0.044316;0.102804;0.049031
1603186398.945265;-0.035981;0.078588;0.056906
1603186398.955274;-0.037365;0.049921;0.054162
1603186398.965254;-0.041088;0.036193;0.043117
1603186398.975263;-0.053109;0.021576;0.021724
1603186398.985243;-0.073036;0.012291;-0.010467
1603186398.995252;-0.104590;-0.009264;-0.054353
1603186399.005262;-0.136308;-0.042792;-0.095562
1603186399.015241;-0.160883;-0.061668;-0.120979
1603186399.025251;-0.153853;-0.056215;-0.109660
1603186399.035230;-0.115834;-0.045061;-0.071823
1603186399.045240;-0.048209;-0.043073;-0.028069
1603186399.055250;0.042482;-0.041805;0.008829
1603186399.065229;0.133649;-0.051118;0.031691
1603186399.075239;0.215193;-0.082875;0.035251
1603186399.085218;0.266767;-0.112182;0.020524
1603186399.095228;0.270843;-0.121502;-0.017239
1603186399.105238;0.229185;-0.111467;-0.064382
1603186399.115217;0.158227;-0.088305;-0.105158
1603186399.125227;0.084549;-0.063771;-0.125161
1603186399.135206;0.028759;-0.046839;-0.117273
1603186399.145216;0.020573;-0.047244;-0.089891
1603186399.155225;0.064987;-0.057940;-0.046915
1603186399.165205;0.147233;-0.057518;-0.003461
1603186399.175215;0.265488;-0.049039;0.041488
1603186399.185194;0.391947;-0.039612;0.083693
1603186399.195204;0.498604;-0.050124;0.117889
1603186399.205183;0.550224;-0.101027;0.120834
1603186399.215193;0.524055;-0.145692;0.073097
1603186399.225202;0.405558;-0.147531;-0.028923
1603186399.235182;0.219987;-0.116263;-0.143527
1603186399.245191;0.022427;-0.060022;-0.218354
1603186399.255171;-0.142760;-0.007736;-0.233430
1603186399.265180;-0.242950;0.027087;-0.192362
1603186399.275190;-0.271226;0.037653;-0.131901
1603186399.285169;-0.231478;0.025088;-0.082840
1603186399.295179;-0.144964;-0.006286;-0.067212
1603186399.305158;-0.037242;-0.055444;-0.078519
1603186399.315168;0.073065;-0.112834;-0.105400
1603186399.325178;0.161432;-0.174107;-0.127944
1603186399.335157;0.235312;-0.190521;-0.127454
1603186399.345167;0.281582;-0.145804;-0.088141
1603186399.355146;0.306963;-0.060967;-0.017868
1603186399.365156;0.310656;0.019932;0.059610
1603186399.375166;0.287926;0.061561;0.109541
1603186399.385145;0.241812;0.068594;0.117344
1603186399.395155;0.186841;0.051049;0.080622
1603186399.405134;0.121800;0.033048;0.008040
1603186399.415144;0.052010;0.034246;-0.082943
1603186399.425153;-0.020743;0.037533;-0.180633
1603186399.435133;-0.093308;0.045324;-0.264122
1603186399.445142;-0.150940;0.068060;-0.317217
1603186399.455122;-0.184253;0.094752;-0.333777
1603186399.465131;-0.195823;0.115416;-0.319281
1603186399.475141;-0.184786;0.124435;-0.295660
1603186399.485121;-0.171252;0.121759;-0.281095
1603186399.495130;-0.157913;0.089665;-0.282776
1603186399.505110;-0.154613;0.045544;-0.297585
1603186399.515119;-0.168695;0.030205;-0.309441
1603186399.525129;-0.193049;0.047513;-0.301743
1603186399.535108;-0.223490;0.035125;-0.269186
1603186399.545118;-0.235235;0.056282;-0.214930
1603186399.555097;-0.206378;0.084636;-0.138184
1603186399.565107;-0.139501;0.098429;-0.056458
1603186399.575117;-0.055506;0.094797;0.006463
1603186399.585096;0.023728;0.062019;0.041565
1603186399.595106;0.085342;0.011896;0.045987
1603186399.605085;0.112146;-0.038376;0.027351
1603186399.615095;0.104468;-0.071394;-0.005351
1603186399.625105;0.055546;-0.090251;-0.039049
1603186399.635084;-0.016864;-0.100545;-0.069331
1603186399.645094;-0.100791;-0.094667;-0.090965
1603186399.655073;-0.175719;-0.062420;-0.098593
1603186399.665083;-0.226027;-0.031035;-0.092463
1603186399.675092;-0.244622;0.004219;-0.077664
1603186399.685072;-0.231904;0.063877;-0.062081
1603186399.695081;-0.182772;0.112547;-0.049572
1603186399.705061;-0.114757;0.123737;-0.044432
1603186399.715070;-0.047772;0.104830;-0.042274
1603186399.725080;0.004263;0.070890;-0.033302
1603186399.735059;0.039901;0.036237;-0.021625
1603186399.745069;0.052440;0.020694;-0.007224
1603186399.755048;0.051584;0.034894;0.009360
1603186399.765058;0.037627;0.051487;0.031323
1603186399.775068;0.021503;0.061534;0.059152
1603186399.785047;0.018627;0.063905;0.095756
1603186399.795057;0.034768;0.053416;0.139541
1603186399.805036;0.070596;0.040541;0.183620
1603186399.815046;0.118867;0.023107;0.209985
1603186399.825056;0.153366;-0.020956;0.211058
1603186399.835020;0.171157;-0.060409;0.191733
1603186399.845030;0.164590;-0.070666;0.154133
1603186399.855009;0.141428;-0.032168;0.114189
1603186399.865019;0.113845;0.075575;0.084250
1603186399.875029;0.095603;0.198549;0.068791
1603186399.885008;0.102977;0.327552;0.064979
1603186399.895018;0.159572;0.411823;0.076983
1603186399.904997;0.251376;0.433486;0.106758
1603186399.915007;0.352471;0.360828;0.138992
1603186399.925016;0.429000;0.186306;0.157496
1603186399.934996;0.452540;0.010362;0.138444
1603186399.945005;0.399873;-0.106862;0.100457
1603186399.954985;0.268670;-0.174658;0.059851
1603186399.964993;0.075928;-0.191422;0.030445
1603186399.975003;-0.160574;-0.129842;0.001630
1603186399.984982;-0.380254;-0.017558;-0.019758
1603186399.994992;-0.533413;0.111347;-0.032661
1603186400.004972;-0.596603;0.239341;-0.020563
1603186400.014982;-0.559584;0.338794;0.023393
1603186400.024992;-0.441262;0.345761;0.099769
1603186400.034971;-0.273855;0.285029;0.187756
1603186400.044981;-0.076554;0.155677;0.288723
1603186400.054960;0.144685;0.062405;0.401032
1603186400.064970;0.363055;0.021426;0.499008
1603186400.074980;0.537146;-0.033248;0.555758
1603186400.084959;0.633293;-0.092814;0.542511
1603186400.094969;0.613095;-0.103415;0.470395
1603186400.104948;0.461489;-0.111545;0.354302
1603186400.114958;0.243472;-0.140839;0.239269
1603186400.124968;0.007539;-0.150429;0.148369
1603186400.134947;-0.199426;-0.141232;0.084477
1603186400.144957;-0.338653;-0.096396;0.040459
1603186400.154936;-0.395623;-0.014858;0.006161
1603186400.164946;-0.379944;0.074800;-0.029967
1603186400.174955;-0.307306;0.129053;-0.068079
1603186400.184935;-0.208057;0.145720;-0.106608
1603186400.194944;-0.107668;0.129201;-0.136635
1603186400.204924;-0.023763;0.098756;-0.154833
1603186400.214933;0.024753;0.078838;-0.154510
1603186400.224943;0.044804;0.082996;-0.136276
1603186400.234922;0.042566;0.099898;-0.097785
1603186400.244932;0.019504;0.105510;-0.049855
1603186400.254910;-0.017717;0.103250;-0.004720
1603186400.264920;-0.063393;0.091989;0.030670
1603186400.274930;-0.103748;0.078411;0.046614
1603186400.284909;-0.135610;0.075191;0.040805
1603186400.294919;-0.151043;0.074255;0.015615
1603186400.304899;-0.154111;0.064429;-0.025958
1603186400.314909;-0.146789;0.044141;-0.073514
