timestamp;x (in microteslas);y (in microteslas);z (in microteslas)
1603186441.574126;78.581802;206.447128;-440.695312
1603186441.584105;78.469101;206.634308;-440.635681
1603186441.594085;78.873383;206.750092;-440.635742
1603186441.604094;77.855911;206.643402;-440.442871
1603186441.614074;78.934250;206.515335;-440.559448
1603186441.624053;78.025131;206.629807;-440.552856
1603186441.634032;78.360809;206.498520;-440.717773
1603186441.644042;79.415924;206.568405;-440.873413
1603186441.654021;78.757233;206.473206;-440.593384
1603186441.664000;79.304810;206.543457;-440.506409
1603186441.673980;79.249008;206.337067;-440.883270
1603186441.683959;78.985809;206.389465;-440.978821
1603186441.693969;79.656326;206.501877;-441.058563
1603186441.703948;79.268387;206.249695;-440.930359
1603186441.713927;79.602219;206.319138;-441.151245
1603186441.723906;79.019730;206.426529;-440.802307
1603186441.733916;78.794128;206.431534;-440.815857
1603186441.743895;80.139114;206.464478;-440.864319
1603186441.753875;79.498093;206.501648;-441.007599
1603186441.763884;79.790482;206.590927;-440.844177
1603186441.773864;79.781677;206.530228;-440.838348
1603186441.783843;79.481033;206.119507;-440.589539
1603186441.793822;78.410477;206.663513;-440.655640
1603186441.803832;79.480240;206.713882;-440.608582
1603186441.813811;79.560852;206.961884;-440.823639
1603186441.823790;79.500046;206.903107;-440.284607
1603186441.833770;79.004730;206.848953;-440.230835
1603186441.843779;80.008087;207.038101;-440.410950
1603186441.853759;79.603500;206.829910;-440.316956
1603186441.863738;80.626633;206.911407;-440.348145
1603186441.873717;79.820541;206.794785;-440.240753
1603186441.883671;79.850922;206.662354;-440.600037
1603186441.893681;80.392365;206.842758;-440.827454
1603186441.903660;79.969467;206.611176;-440.528687
1603186441.913640;80.393890;206.742676;-440.828003
1603186441.923619;79.354950;206.492065;-440.624725
1603186441.933598;79.310638;206.605270;-440.365967
1603186441.943577;80.145477;206.702591;-440.368835
1603186441.953587;79.314331;206.671021;-440.497375
1603186441.963566;80.153595;207.028259;-440.639313
1603186441.973546;79.683472;206.901642;-440.508789
1603186441.983525;79.723373;206.673920;-440.368134
1603186441.993504;80.324951;206.899216;-440.615234
1603186442.003483;79.720459;206.706146;-440.373718
1603186442.013463;80.362076;206.878693;-440.614624
1603186442.023442;79.820953;206.784882;-440.172913
1603186442.033421;79.533356;206.616669;-440.138947
1603186442.043431;80.339264;206.795792;-440.357269
1603186442.053410;79.947922;206.540146;-440.396484
1603186442.063389;80.705078;206.525269;-440.384003
1603186442.073369;80.020432;206.619186;-440.502747
1603186442.083348;79.999069;206.680618;-440.229675
1603186442.093327;80.455978;206.933792;-439.987732
1603186442.103306;79.975586;206.912231;-440.245544
1603186442.113286;80.609085;206.988998;-440.637695
1603186442.123295;79.916122;206.889999;-440.396759
1603186442.133275;80.143402;206.807327;-440.308105
1603186442.143254;80.517258;207.216049;-440.424896
1603186442.153233;79.922791;206.862579;-439.911804
1603186442.163212;80.794037;207.196136;-440.149963
1603186442.173192;79.952011;207.177994;-439.821350
1603186442.183171;80.056381;207.119904;-439.731537
1603186442.193181;80.496216;207.231232;-440.080444
1603186442.203160;80.176041;207.116730;-439.787354
1603186442.213139;80.603622;207.235748;-440.128845
1603186442.223118;80.324142;207.082352;-439.738342
1603186442.233098;79.610428;206.923080;-439.903687
1603186442.243077;80.422546;207.192093;-440.015106
1603186442.253056;79.766312;207.158218;-439.955231
1603186442.263035;80.719223;207.341858;-440.149902
1603186442.273015;79.227768;207.319107;-439.853577
1603186442.283024;79.663925;206.981003;-439.903320
1603186442.293004;79.904221;207.183167;-440.071289
1603186442.302983;79.209900;207.044037;-440.201019
1603186442.312962;80.284836;207.093704;-440.318420
1603186442.322941;79.226059;207.005783;-439.932556
1603186442.332921;79.437485;207.016434;-439.788605
1603186442.342900;79.814377;207.151855;-439.935425
1603186442.352879;79.025345;207.207138;-439.932617
1603186442.362889;79.890091;207.356461;-440.176758
1603186442.372868;79.299789;206.956436;-439.961151
1603186442.382847;78.988022;206.920685;-440.150726
1603186442.392827;79.383926;206.880524;-440.304474
1603186442.402806;79.766052;206.891022;-440.625793
1603186442.412785;80.279404;206.652847;-440.784180
1603186442.422764;79.785889;206.492493;-440.528687
1603186442.432744;79.709366;206.600967;-440.393951
1603186442.442753;79.746902;206.438370;-440.841766
1603186442.452733;79.129959;206.608566;-440.721985
1603186442.462712;79.846161;206.554199;-440.770905
1603186442.472691;79.349182;206.684204;-440.426361
1603186442.482670;79.161835;206.751160;-439.988434
1603186442.492650;79.210083;207.059418;-440.171814
